City,Image Source,Business Name,Rating,Number of Reviews,Categories,Address,Studio Workshop Url: SW
Aachen,https://files.eversports.com/b5fbdb8d-cc1e-44ab-872b-d0b211cc9007/d-img_2188-6jpg-small.webp,poda Studio,rating,"4,9 (47 Rezensionen)","['Fitness', 'Tanzen', 'Yoga', 'Poledance', '+ 17']","Martinstraße 10-12 , 52062 Aachen",https://www.eversports.de/sw/poda-studio
Aachen,https://files.eversports.com/0aed1787-d224-4868-b032-4f0a1ffc8ff2/photo-2021-12-12-11-50-04jpg-small.webp,Pura Studio,rating,5 (60 Rezensionen),"['Yoga', 'Poledance', 'Massage', 'Stretching', '+ 1']","Schaufenberger Straße 61 , 52477 Alsdorf",https://www.eversports.de/sw/pura-studio
Abensberg,https://files.eversports.com/a73d40e1-eaf2-4300-b464-141124923110/13631394_1634636236854453_5896347896473718519_n-small.webp,Polesition Regensburg,rating,"4,9 (27 Rezensionen)","['Pilates', 'Tanzen', 'Poledance', 'Aerial Yoga', '+ 10']","Rebhuhnstraße 4, 93326 Abensberg",https://www.eversports.de/sw/polesition-regensburg
Abensberg,https://files.eversports.com/9b5f6e3a-5ec8-45f2-8d5c-53002bef8aa4/bodypumpjpg-small.webp,Sportheim Abensberg,rating,"4,9 (36 Rezensionen)","['Fitness', 'Pilates', 'Poledance', 'Aerial Yoga', '+ 8']","Von-Hazzi-Straße 7, 93326 Abensberg",https://www.eversports.de/sw/sportheim-abensberg
Achern,https://files.eversports.com/0fe3af8e-230c-4d18-a416-fd2ed85e1a01/photo_2023-03-17_22-12-16-2jpg-small.webp,Körperformfabrik GbR,rating,"4,9 (3 Rezensionen)","['Poledance', 'TRX®', 'TRX® Yoga', 'TRX® Suspension Training', '+ 1']","Hauptstraße 108 , 77855 Achern",https://www.eversports.de/sw/körperformfabrik-gbr
Ahrensburg,https://files.eversports.com/fc2ddda9-5ed5-49ed-a41e-2228042722d9/_z3a3511jpg-small.webp,Soultide,rating,"4,9 (43 Rezensionen)","['Yoga', 'Poledance', 'Aerial Yoga', 'Floorwork', '+ 9']","Süderstraße 159A , 20537 Hamburg",https://www.eversports.de/sw/soultide
Ahrensburg,https://files.eversports.com/aa909fae-006d-4839-bc28-75abee14b39b/feel-good-factory-hamburg-erste-stunde_studio-1png-small.webp,FEEL GOOD FACTORY: Pole • Stretch • Fly,rating,5 (1 Rezension),"['Tanzen', 'Poledance', 'Flexibles Training', 'Bodywork', '+ 15']","Holsteinischer Kamp 37 , 22081 Hamburg",https://www.eversports.de/sw/feel-good-factory:-pole-•-stretch-•-fly
Ahrensburg,https://files.eversports.com/592e5cf9-c2d9-40ba-9256-19bc78827567/2016-06-11-18-14-58-738jpg-small.webp,CSS AERIAL DANCE STUDIO,rating,"4,8 (46 Rezensionen)","['Poledance', 'Aerial Yoga', 'Rückenfit', 'Flexibles Training', '+ 12']","Hummelsbütteler Steindamm , 22851 Hamburg",https://www.eversports.de/sw/css-aerial-dance-studio
Ahrensburg,https://files.eversports.com/8cbb2bc4-7116-4df4-9ea2-87463a1db8ae/25jpg-small.webp,AIRobics,rating,"4,9 (45 Rezensionen)","['Yoga', 'Poledance', 'Aerial Yoga', 'Akrobatik', '+ 12']","Holsteinischer Kamp 58 , 22081 Hamburg",https://www.eversports.de/sw/airobics
Aichtal,https://files.eversports.com/acd0bdf0-7c65-4087-82b3-595f12c318c3/l22b2057-epjpg-small.webp,Polemotions Tübingen,rating,"4,9 (68 Rezensionen)","['Yoga', 'Poledance', 'Krafttraining', 'Acroyoga', '+ 10']","Aeulestraße 2 , 72074 Tübingen",https://www.eversports.de/sw/polemotions-tübingen
Aichtal,https://files.eversports.com/de88c9ad-d060-4f5d-bcbc-0ca322455816/img_20170329_232320_523-small.webp,Polemotions Filderstadt,rating,"4,8 (41 Rezensionen)","['Poledance', 'Krafttraining', 'Stretching', 'Handstand', '+ 2']","Tübinger Straße 10 , 70794 Filderstadt",https://www.eversports.de/sw/polemotions-filderstadt
Aichtal,https://files.eversports.com/651383bb-513d-413c-9e96-0da05469ffe7/2020-09-19-163112jpg-small.webp,Passionate Pole & Sports,rating,5 (23 Rezensionen),"['Poledance', 'Akrobatik', 'Stretching']","Schöllkopfstraße 40 , 73230 Kirchheim unter Teck",https://www.eversports.de/sw/passionate-pole-&-sports
Altenberg,https://files.eversports.com/c902a4a3-458a-456a-a593-4ca6e3bb948f/img_8035jpg-small.webp,The Pole Jungle,rating,"4,9 (7 Rezensionen)",['Poledance'],"Volksgartenstraße 19 , 4020 Linz",https://www.eversports.de/sw/the-pole-jungle
Altenkirchen,https://files.eversports.com/ce4d6229-b12d-4d23-93f2-8deb41f5175d/069jpg-small.webp,Yoga and Pole Art by Selina,rating,5 (49 Rezensionen),"['Poledance', 'Aerial Yoga', 'Personal Training', 'Meditation', '+ 8']","Zum Wingert 10 , 53783 Eitorf",https://www.eversports.de/sw/yoga-and-pole-art-by-selina
Altensteig,/static/media/icon-white.929e2590.svg,ST Polestudio,rating,"4,7 (11 Rezensionen)",['Poledance'],"Walkmühleweg 47, 75365 Calw",https://www.eversports.de/sw/st-polestudio
Altötting,https://files.eversports.com/e985ab77-98b5-45ee-b45d-ddaf724c9f2c/infinity-polesports-raumpng-small.webp,Infinity Polesports,rating,5 (29 Rezensionen),['Poledance'],"Martin-Ofner-Straße, 84508 Burgkirchen an der Alz",https://www.eversports.de/sw/infinity-polesports
Alzenau,https://files.eversports.com/2e88c170-1607-4842-9e6d-76fc2fdcda15/logo-eversportspng-small.webp,Vertical - Pole Aerial Dance,rating,"4,9 (20 Rezensionen)","['Yoga', 'Poledance']","Mühlstraße 100 , 63741 Aschaffenburg",https://www.eversports.de/sw/vertical---pole-aerial-dance
Andernach,https://files.eversports.com/d18b8ba6-2a87-45d9-84b2-0a331bc8731e/image1jpeg-small.webp,Polefamily-Koblenz,rating,5 (20 Rezensionen),"['Tanzen', 'Poledance', 'Aerial Yoga', 'Flexibles Training', '+ 4']","Löhrstraße 48 , 56068 Koblenz",https://www.eversports.de/sw/polefamily-koblenz
Aßlar,https://files.eversports.com/dd5a4408-aea3-4504-ab29-32abd1d5aff3/vereinsheim-eingangjpg-small.webp,TSG Blau-Gold Gießen e.V.,rating,"4,7 (102 Rezensionen)","['Boxen', 'Fitness', 'Kampfsport', 'Pilates', '+ 77']","An der Hessenhalle 1 , 35398 Gießen",https://www.eversports.de/sw/tsg-blau-gold-gießen-e.v.
Augsburg,https://files.eversports.com/f8b9581d-04c2-40ef-95d8-5a121ec4b153/pole_plus_basic_butterflyjpg-small.webp,Pole Plus,rating,"4,9 (5 Rezensionen)","['Poledance', 'Stretching', 'Online Klasse']","Ulmer Straße 152 , 86156 Augsburg",https://www.eversports.de/sw/pole-plus
Augsburg,/static/media/icon-white.929e2590.svg,Pole Circus A + K,rating,5 (20 Rezensionen),"['Tanzen', 'Yoga', 'Poledance', 'Akrobatik', '+ 3']","Rehmstraße , 86161 Augsburg",https://www.eversports.de/sw/pole-circus-a-+-k
Augsburg,https://files.eversports.com/3fe56e2b-bd59-44bc-b551-5d6a5f6ab459/teamjpg-small.webp,Polefly Academy,rating,5 (2 Rezensionen),"['Poledance', 'Power Pole', 'Stretching', 'Chairdance', '+ 6']","Bürgermeister-Wegele-Straße 6A , 86167 Augsburg",https://www.eversports.de/sw/polefly-academy
Bacharach,https://files.eversports.com/6debfbac-5718-47a9-ad52-8289481f7569/img_20180321_172157jpg-small.webp,Pole Oase,rating,5 (15 Rezensionen),"['Fitness', 'Tanzen', 'Poledance', 'Acroyoga', '+ 2']","Kleine Grabenstraße 1, 65385 Rüdesheim am Rhein",https://www.eversports.de/sw/pole-oase
Baiersdorf,https://files.eversports.com/9844a6b6-eea5-4af6-ae11-9bade0c3af85/77853df6-d090-4d93-8140-2e3def3c5686jpeg-small.webp,POLE LOFT,rating,"4,9 (21 Rezensionen)","['Tanzen', 'Poledance', 'Akrobatik', 'Aerial Hoop', '+ 1']","Daimlerstraße 8 , 91301 Forchheim",https://www.eversports.de/sw/pole-loft
Baiersdorf,https://files.eversports.com/e5ed9769-85df-431b-8f0a-671a61bcde60/logo1_lightpinkpng-small.webp,POLE HEROES,rating,"4,9 (55 Rezensionen)","['Yoga', 'Poledance', 'Flexibles Training', 'Power Pole', '+ 5']","Karl-Zucker-Straße 7-9, 91052 Erlangen",https://www.eversports.de/sw/pole-heroes
Barmstedt,https://files.eversports.com/7c6bb92c-bad6-4ad7-b100-9905421f30c5/image00003jpeg-small.webp,Anni's Pole-Dance Uetersen,rating,5 (14 Rezensionen),"['Poledance', 'Chairdance', 'Dehnung/Flexibilität', 'Exotic', '+ 2']","Pracherdamm 8 , 25436 Uetersen",https://www.eversports.de/sw/anni's-pole-dance-uetersen
Baunatal,https://files.eversports.com/b4900683-42e8-40ac-a35d-d7784172c4bc/104435046_672422056669469_6034553583716755523_njpg-small.webp,Pole for Soul GbR,rating,5 (19 Rezensionen),"['Yoga', 'Poledance', 'Aerial Yoga', 'Krafttraining', '+ 7']","Die Schlagd 1, 34125 Kassel",https://www.eversports.de/sw/pole-for-soul-gbr
Bensheim,https://files.eversports.com/b8aaa043-16a2-4948-b545-0df8fc0332ed/img_1649jpg-small.webp,Center of Moving Arts,rating,"4,9 (18 Rezensionen)","['Fitness', 'Tanzen', 'Yoga', 'Hip Hop', '+ 6']","Fabrikstraße 21, 64625 Bensheim",https://www.eversports.de/sw/center-of-moving-arts
Berlin,https://files.eversports.com/a006ebd7-6e7c-484e-a854-38c78fb2f26a/logo-agata-2-rjpg-small.webp,Schönheitstanz Studio,rating,5 (33 Rezensionen),"['Fitness', 'Tanzen', 'Yoga', 'Poledance', '+ 8']","Charitestraße 4 , 10117 Berlin",https://www.eversports.de/sw/schönheitstanz-studio
Berlin,https://files.eversports.com/8ce8515b-1c1a-4776-befa-9f0fc8ff4393/dance-startjpg-small.webp,X-Step Berlin,rating,"4,8 (29 Rezensionen)","['Boxen', 'Fitness', 'Kampfsport', 'Pilates', '+ 36']","Tempelhofer Ufer 36 , 10963 Berlin",https://www.eversports.de/sw/x-step-berlin
Berlin,https://files.eversports.com/d8eace77-bc0a-4f6e-a849-276d5729a9d5/d85_3763-sjpg-small.webp,IMA Intentional Movement Academy,rating,5 (4 Rezensionen),"['Aerial Yoga', 'Events', 'Akrobatik', 'Stretching', '+ 6']","Prenzlauer Promenade 189 , 13189 Berlin",https://www.eversports.de/sw/ima-intentional-movement-academy
Berlin,https://files.eversports.com/a7741e1d-20d1-42d2-b273-e7f48fe27d31/20190123_160411jpg-small.webp,YH Pole (and) Sports Berlin,rating,5 (34 Rezensionen),"['Fitness', 'Poledance', 'Personal Training', 'Power Pole', '+ 2']","Erkelenzdamm 59 , 10999 Berlin",https://www.eversports.de/sw/yh-pole-(and)-sports-berlin
Berlin,https://files.eversports.com/a97360c2-cb47-452c-8ba7-ad1c92a271b2/6d3ee569-49b6-449a-aaf7-4327f505bb19-3cd43197-dcf0-46e4-93cd-a08206db23edjpg-small.webp,YOGA at Lobe Block,rating,"4,8 (113 Rezensionen)","['Pilates', 'Events', 'Zen Meditation', 'Meditation', '+ 27']","Böttgerstraße 16 , 13357 Berlin",https://www.eversports.de/sw/yoga-at-lobe-block
Besigheim,https://files.eversports.com/69b0c380-e9d1-4a84-bdf8-17e9a7e00f54/img_0212jpg-small.webp,Aerial Loft,rating,"4,9 (51 Rezensionen)","['Yoga', 'Poledance', 'Aerial Yoga', 'Personal Training', '+ 5']","Bahnhofstraße 12 , 70806 Kornwestheim",https://www.eversports.de/sw/aerial-loft
Bexbach,https://files.eversports.com/e45849a1-27fa-435d-bed6-51b8d2a6f654/6ca22531-a7bb-498d-93f0-b70e2eb29454jpeg-small.webp,Pole Arts,rating,5 (29 Rezensionen),"['Poledance', 'Stretching', 'Heels', 'Twerken', '+ 1']","Bexbacher Straße 8 , 66540 Neunkirchen",https://www.eversports.de/sw/pole-arts
Bexbach,https://files.eversports.com/427faae0-19ef-4c27-9d52-44cb08f72a38/img_5666jpg-small.webp,Pole Werk by Nelly,rating,5 (22 Rezensionen),"['Poledance', 'Stretching', 'Aerial Hoop']","Kleinottweilerstraße 75 , 66450 Bexbach",https://www.eversports.de/sw/pole-werk-by-nelly
Blaubeuren,https://files.eversports.com/f78b646b-9eda-41ba-a4a1-7d95d66d757c/schooting-pole-015jpeg-small.webp,Flow Academy,rating,5 (2 Rezensionen),['Poledance'],"Pfarrer-Weiß-Weg 16, 89077 Ulm",https://www.eversports.de/sw/flow-academy
Bochum,https://files.eversports.com/0c94db94-ebfc-4633-97dd-3af834b736ea/linab-web-3jpg-small.webp,Polearize,rating,"4,9 (74 Rezensionen)","['Tanzen', 'Yoga', 'Poledance', 'Bootcamp', '+ 4']","Rottstraße 6 , 44793 Bochum",https://www.eversports.de/sw/polearize
Bochum,https://files.eversports.com/8dfffeef-dcbc-45e2-83d6-eaa61f63fd68/tanzsaaljpg-small.webp,Ramonas Tanzschmiede,rating,5 (10 Rezensionen),"['Tanzen', 'Zumba', 'Hip Hop', 'Poledance', '+ 15']","Ückendorfer Straße 121 , 45886 Gelsenkirchen",https://www.eversports.de/sw/ramonas-tanzschmiede
Bochum,https://files.eversports.com/423f4250-800d-4685-b334-3e4c9f49ed32/c0fed07f-e5c6-4250-afc6-8430e77c7d5fjpeg-small.webp,Da Becca Flow and Fit,rating,5 (21 Rezensionen),"['Tanzen', 'Poledance', 'Stretching', 'Floorwork', '+ 4']","Eickeler Markt 3A , 44651 Herne",https://www.eversports.de/sw/da-becca-flow-and-fit
Bonn,https://files.eversports.com/18242dc3-f36f-4481-b3e8-46af81f3a64a/dsc_1123jpg-small.webp,Polestructions,rating,"4,9 (154 Rezensionen)","['Fitness', 'Tanzen', 'Poledance', 'Funsport', '+ 14']","Auguststraße 8, 53229 Bonn",https://www.eversports.de/sw/polestructions
Bornheim,https://files.eversports.com/48526262-3f17-4fa7-b464-11bf46c27ef6/pole_partypng-small.webp,Star Poledance,rating,5 (14 Rezensionen),"['Fitness', 'Poledance', 'Ballett', 'Akrobatik', '+ 12']","Rudolf-Diesel-Straße 6 , 53919 Weilerswist",https://www.eversports.de/sw/star-poledance
Bottrop,https://files.eversports.com/8266b2aa-47aa-4afc-a0e6-53f71558a2c3/m8u_4943-1jpg-small.webp,aerialflow,rating,"4,8 (48 Rezensionen)","['Tanzen', 'Yoga', 'Poledance', 'Aerial Yoga', '+ 24']","Pfefferackerstraße 2A , 45894 Gelsenkirchen",https://www.eversports.de/sw/aerialflow
Bottrop,https://files.eversports.com/b3f06722-6554-40c9-b466-fdaa125db09a/_22b2424jpg-small.webp,SECRET MOVES - Athletic Dance Studio,rating,"4,9 (66 Rezensionen)","['Fitness', 'Poledance', 'Aerial Yoga', 'Barre-Training', '+ 9']","Gelsenkirchener Straße 37 , 46282 Dorsten",https://www.eversports.de/sw/secret-moves---athletic-dance-studio
Brandis,https://files.eversports.com/192deef2-7990-4e17-8bbb-30a588dfcb7a/43jpg-small.webp,Poledancestar,rating,"4,9 (51 Rezensionen)","['Fitness', 'Tanzen', 'Turnen', 'Poledance', '+ 4']","Gabelsbergerstraße 1A , 04317 Leipzig",https://www.eversports.de/sw/poledancestar
Brandis,https://files.eversports.com/f7f5f01b-d32f-4282-9ba8-f01ff0d75d95/fa45a596-4583-4006-8455-345e914aaee0jpeg-small.webp,PoleFitness Leipzig,rating,"4,9 (10 Rezensionen)","['Fitness', 'Poledance', 'Stretching', 'Aerial Hoop', '+ 1']","Salomonstraße 18B , 04103 Leipzig",https://www.eversports.de/sw/polefitness-leipzig
Braunschweig,https://files.eversports.com/9d4469d0-cb02-446d-adb5-6e4384508941/studio1jpg-small.webp,T-Tanzstück Braunschweig,rating,"4,9 (33 Rezensionen)","['Fitness', 'Poledance', 'Aerial Yoga', 'Personal Training', '+ 16']","Berliner Straße 52 , 38104 Braunschweig",https://www.eversports.de/sw/t-tanzstück-braunschweig
Braunschweig,https://files.eversports.com/35eea91a-bd03-4e30-8139-9d8496b59a03/poleroomjpeg-2jpg-small.webp,PoleRoom Braunschweig,rating,"4,9 (37 Rezensionen)","['Fitness', 'Tanzen', 'Turnen', 'Poledance', '+ 14']","Büchnerstraße 10 , 38118 Braunschweig",https://www.eversports.de/sw/poleroom-braunschweig
Braunschweig,https://files.eversports.com/6e89875e-80ac-470b-868d-9cfee1e2c61e/20190419_151442jpg-small.webp,T-Tanzstück Wolfsburg,rating,"4,8 (18 Rezensionen)","['Yoga', 'Poledance', 'Aerial Yoga', 'Personal Training', '+ 10']","Borsigstraße 41, 38446 Wolfsburg",https://www.eversports.de/sw/t-tanzstück-wolfsburg
Bruchköbel,https://files.eversports.com/dee0e1aa-0ad2-4bd3-9b3e-39122c9974f6/xq9a2590ajpg-small.webp,Lift Off – Poledance Academy,rating,"4,9 (30 Rezensionen)","['Poledance', 'Mobility', 'Online Klasse']","Location (siehe Buchung) , 60314 Frankfurt am Main",https://www.eversports.de/sw/lift-off-–-poledance-academy
Brück,https://files.eversports.com/ab1a7da9-e1b3-4e72-8e82-f4ba0ed3b96a/whatsapp-image-2022-07-16-at-151328jpeg-small.webp,pure body concepts,rating,"4,8 (29 Rezensionen)","['Yoga', 'Hip Hop', 'Poledance', 'Kickboxen', '+ 16']","Zugspitzstr. 46a , 85591 Vaterstetten",https://www.eversports.de/sw/pure-body-concepts
Brühl,https://files.eversports.com/69b31525-d99a-4a80-bdcc-15baa897d0bb/642fca95-975a-4e5f-b0aa-6702b1752850jpeg-small.webp,Annaconda Pole & Fitness,rating,5 (29 Rezensionen),"['Fitness', 'Poledance', 'Aerial Yoga', 'Flexibles Training', '+ 8']","Venloer Straße 601-603, 50827 Köln",https://www.eversports.de/sw/annaconda-pole-&-fitness
Burgdorf,https://files.eversports.com/6e127c8c-2239-4faf-b266-42c016e205f6/pexels-yan-krukau-8613313jpg-small.webp,Yoga Vidya Burgdorf,rating,(Noch keine Bewertungen),"['Yoga', 'Theorieraum', 'Rückenfit', 'Gruppenangebote', '+ 84']","Marktstraße 65 , 31303 Burgdorf",https://www.eversports.de/sw/yoga-vidya-burgdorf
Burgwedel,https://files.eversports.com/5c9996c7-5ebd-4d58-8ab5-c7dd4868a552/6f280b72-5907-44f3-a169-e9da0b1ada59jpeg-small.webp,La Belle,rating,5 (22 Rezensionen),"['Fitness', 'Tanzen', 'Poledance', 'Ballett', '+ 12']","Marktplatz 4 , 30853 Langenhagen",https://www.eversports.de/sw/la-belle
Burgwedel,https://files.eversports.com/e9b9a7b7-d3d5-48da-811c-b60017115ae4/bildschirmfoto-2018-09-10-um-140430png-small.webp,Pole Dance Studio Passion Hannover,rating,"4,7 (13 Rezensionen)",['Poledance'],"Büttnerstraße 22 , 30165 Hannover",https://www.eversports.de/sw/pole-dance-studio-passion-hannover
Burscheid,https://files.eversports.com/463db4b8-85b0-4fbb-8477-bfa03324e2ae/17211914_745099798983333_6506084998826309716_ojpg-small.webp,Pole Paradise,rating,"4,9 (61 Rezensionen)","['Fitness', 'Gymnastik', 'Tanzen', 'Turnen', '+ 9']","Ravensburgerstraße 110-112, 50739 Köln",https://www.eversports.de/sw/pole-paradise
Burscheid,/static/media/icon-white.929e2590.svg,A heart for poledance,rating,"4,9 (15 Rezensionen)",['Poledance'],"Nußbaumer Straße 6, 51469 Bergisch Gladbach",https://www.eversports.de/sw/a-heart-for-poledance
Burscheid,https://files.eversports.com/df995aed-3365-4f88-9da9-4213ea64cafc/7ce51552-9fc1-458e-820e-d86ce90f25fdjpeg-small.webp,Dance & Pole Leverkusen,rating,5 (3 Rezensionen),['Poledance'],"Schillerstraße 6 , 51379 Leverkusen",https://www.eversports.de/sw/dance-&-pole-leverkusen
Burscheid,https://files.eversports.com/f6319580-c6a9-4ded-b91c-b318db7136e7/d14db420-e799-4f3c-8464-e7fec75ba07ejpeg-small.webp,Dance & Pole Langenfeld,rating,(Noch keine Bewertungen),"['Poledance', 'Stretching', 'Chairdance', 'Aerial Hoop', '+ 3']","Kölner Straße 16 , 40764 Langenfeld (Rheinland)",https://www.eversports.de/sw/dance-&-pole-langenfeld
Burscheid,https://files.eversports.com/5921e2b3-70f2-4391-8eb2-29275aaea740/2121166c-27d6-4dec-9087-260b53c7b43ajpg-small.webp,One8dance Studio,rating,5 (1 Rezension),"['Tanzen', 'Zumba', 'Hip Hop', 'Poledance', '+ 7']","Britanniahütte 10 , 51469 Bergisch Gladbach",https://www.eversports.de/sw/one8dance-studio
Burscheid,https://files.eversports.com/b08a5871-53b9-4d53-bd71-2774447d2036/polr-50jpg-small.webp,Poledance-Area,rating,"4,4 (1 Rezension)","['Poledance', 'Stretching', 'Floorwork', 'Lapdance', '+ 1']","Mandtstraße 2 , 42853 Remscheid",https://www.eversports.de/sw/poledance-area
Burscheid,https://files.eversports.com/d30460d2-e0e5-4f4f-ae52-546f430889ad/delta-umkleidejpg-small.webp,Dance & Pole Deltawerk,rating,(Noch keine Bewertungen),['Poledance'],"Gasstraße 10-18 , 42657 Solingen",https://www.eversports.de/sw/dance-&-pole-deltawerk
Bürstadt,https://files.eversports.com/0db99d38-69d4-40a9-8f26-a66645108783/miriams-web-4349jpg-small.webp,Pole and Move Mannheim,rating,"4,9 (43 Rezensionen)","['Fitness', 'Poledance', 'Raumvermietung', 'Power Pole', '+ 11']","Edisonstraße 20 , 68309 Mannheim",https://www.eversports.de/sw/pole-and-move-mannheim
Bürstadt,https://files.eversports.com/ce18ee10-e44a-482a-8c85-5ab57a420e0b/larab-web-2285jpg-small.webp,Pole and Move Online Studio,rating,"4,9 (28 Rezensionen)","['Fitness', 'Tanzen', 'Poledance', 'Stretching', '+ 6']","Edisonstraße 20, 68309 Mannheim",https://www.eversports.de/sw/pole-and-move-online-studio
Buxtehude,https://files.eversports.com/48152c51-ac9d-44e8-947d-eb43b1006c48/_dsc0005_webjpg-small.webp,Nordpole,rating,"4,9 (106 Rezensionen)","['Fitness', 'Tanzen', 'Poledance', 'Stretching', '+ 2']","Mendelssohnstraße 15B , 22761 Hamburg",https://www.eversports.de/sw/nordpole
